name,brand,category,subcategory,location,barcode,units_per_case
"Michters Us 1 Small Batch Rye 750 Ml","Michter's","spirits","Rye","","0039383006507","12"
"Original Spiced Rum 1 L","Captain Morgan","spirits","Rum","","0087000002708","12"
"Maker's Mark Bourbon Whisky 1000ml","Maker's Mark","spirits","Bourbon","","https://api.drinksmart.com/00085246139424","12"
"Distilled London Dry Gin","BOMBAY","spirits","Gin","","0080480301019","12"
"Tequila Blanco","Don Julio","spirits","Tequila","","0674545000001","12"
"Oranje Orange Flavored Vodka 25.36 fl oz","Ketel One","spirits","Vodka","","0085156475001","12"
"Premium London Dry Gin","Crystal Palace","spirits","Gin","","","12"
"Riserva Speciale Ambrato Vermouth di Torino","Martini & Rossi","spirits","Vermouth","","","12"
"Vermouth de Chambéry Rouge","Dolin","spirits","Vermouth","","","12"
"Sancerre 2024","Domaine Vacheron","white_wine","Sauvignon Blanc","","","12"
"Extra Dry Vermouth","Boissiere","spirits","Vermouth","","","12"
"Bitter Liqueur 1L","Contratto","spirits","Liqueur","","8002007500004","12"
"Creme de Cacao Blanc 750ml","Giffard","spirits","Liqueur","","0852322824044","12"
"Sauvignon Blanc","Kim Crawford","white_wine","Sauvignon Blanc","","0689352009611","12"
"Vermouth di Torino Rosso","Martini & Rossi","spirits","Vermouth","","0011034006593","12"
"MR Black","Mr black","spirits","Liqueur","","0857932007009","12"
"Rum (product of the Dominican Republic)","Brugal","spirits","Rum","","0087236110000","12"
"Grapefruit Hibiscus Tequila","21 Seeds","spirits","Tequila","","0850003519098","12"
"Josh Cellars Chalk Hill P Noir Sonoma Cst","CHALK HILL","red_wine","Pinot Noir","","0016236000042","12"
"Green Spot Irish Whiskey 750ml","Green Spot","spirits","Irish Whiskey","","0080432105993","12"
"Dry Vermouth 750ml","Carpano","spirits","Vermouth","","","12"
"Tequila Agave Azul - Resposado","Casamigos","spirits","Tequila","","0856724006213","12"
"Gray Goose Le Melon Vodka - 750ml Bottle","Grey Goose","spirits","Vodka","","0080480004897","12"
"Pinot Noir","Meiomi","red_wine","Pinot Noir","","0855165005076","12"
"95 Rye Frontier Whiskey 750ml","Bulleit","spirits","Rye","","","12"
"Extra Dry Vermouth","Boissiere","spirits","Vermouth","","","12"
"Baileys 25.36 fl oz","Baileys","spirits","Liqueur","","0086767701763","12"
"Carolans Irish Cream Liqueur, 750 mL 25.36 fl oz","Carolans","spirits","Liqueur","","0721059517508","12"
"Aperol","","spirits","Aperitif","","0721059002387","6"
"Elderflower liqueur","ST-GERMAIN","spirits","Liqueur","","0080480004699","12"
"Cotes De Provence Rose","","rose_wine","Rosé","","0081753833916","12"
"Casamigos Anejo Tequila 750ml","CASAMIGOS","spirits","Tequila","","0856724006015","12"
"Pinot grigio","Santa Margherita","white_wine","Pinot Grigio","","0632987200205","12"
"Handmade Vodka","Tito’s","spirits","Vodka","","0619947000020","12"
"Bacardi Superior White Rum","Bacardi","spirits","Rum","","0080480015305","12"
"Blended Canadian Whiskey 25.40 fl oz","Crown Royal","spirits","Whiskey","","0087000007253","12"
"Veuve cliquot","VEUVE CLICQUOT","sparkling","Champagne","","0081753050207","12"
"Triple Sec Liqueur 1 L","","spirits","Liqueur","","0096749938407","12"
"Jameson Irish Whiskey Ireland Black Barrel 1L Bottle 25.36 fl oz","Jameson Irish Whiskey","spirits","Irish Whiskey","","0080432107263","12"
"Disaronno","Disaronno","spirits","Liqueur","","0050037014235","12"
"Paul Hobbs - CrossBarn Sonoma Coast Pinot Noir 2022 (750ml)","","red_wine","Pinot Noir","","0897941000271","12"
"Talisker 10 Year Old Single Malt Scotch Whisky, 750 mL (91.6 Proof)","Talisker","spirits","Scotch","","0088110170059","12"
"Oyster Bay Sauvignon Blanc 2013,","Oyster Bay","white_wine","Sauvignon Blanc","","0870661008024","12"
"Cloudy Bay Sauvignon Blanc White Wine- 750ml 25.36 fl oz","Cloudy Bay","white_wine","Sauvignon Blanc","","0081753809423","12"
"Scotch whisky liqueur","Drambuie","spirits","Scotch","","0080480302016","12"
"Allspice Dram 750ml","St. Elizabeth","spirits","Liqueur","","","12"
"Sancerre","Domaine Jean-Paul Balland","white_wine","Sauvignon Blanc","","","12"
"Sancerre 2024","Pierre Prieur & Fils","white_wine","Sauvignon Blanc","","","12"
"Aged 12 Years Blended Scotch Whisky","Dewar's","spirits","Scotch","","","12"
"French Ginger Liqueur 700 ml","Domaine de Canton","spirits","Liqueur","","","12"
"Barton Charcoal Filtered Vodka 1L 1 L","Barton","spirits","Vodka","","","12"
"Decadent Biscotti Chocolate Biscotti Liqueur 750ml","Faretti","spirits","Liqueur","","","12"
"Cup big wins","DCM S.P.A.","spirits","","","0721059987509","12"
